,Name of bill,Bill no.,Stage,Last activity,Select Committee
7,Social Security (Fraud Measures and Debt Recovery) Amendment Bill  Bill - government,98-2,RA,22 April 2014,Social Services Committee
8,Industry Training and Apprenticeships Amendment Bill  Bill - government,151-2,RA,22 April 2014,Education and Science Committee
9,"Ngāti Apa ki te Rā Tō, Ngāti Kuia, and Rangitāne o Wairau Claims Settlement Bill  Bill - government",123-3A,RA,22 April 2014,
10,"Ngāti Kōata, Ngāti Rārua, Ngāti Tama ki Te Tau Ihu, and Te Ātiawa o Te Waka-a-Maui Claims Settlement Bill  Bill - government",123-3B,RA,22 April 2014,
11,Ngati Toa Rangatira Claims Settlement Bill  Bill - government,123-3C,RA,22 April 2014,
12,Haka Ka Mate Attribution Bill  Bill - government,123-3D,RA,22 April 2014,
13,Land Transport Amendment Bill (No 2)  Bill - government,143-3A,RA,22 April 2014,
14,Road User Charges Amendment Bill  Bill - government,143-3B,RA,22 April 2014,
15,Victims of Crime Reform Bill  Bill - government,319-2,3,16 April 2014,Justice and Electoral Committee
16,Maungaharuru-Tangitu Hapu Claims Settlement Bill  Bill - government,135-2,RA,16 April 2014,Māori Affairs Committee
17,Tapuika Claims Settlement Bill  Bill - government,136-3C,RA,16 April 2014,
18,Ngāti Rangiwewehi Claims Settlement Bill  Bill - government,136-3B,RA,16 April 2014,
19,Ngāti Rangiteaorere Claims Settlement Bill  Bill - government,136-3A,RA,16 April 2014,
20,Tasman District Council (Validation and Recovery of Certain Rates) Bill  Bill - local,96-2,RA,14 April 2014,Local Government and Environment Committee
21,Sullivan Birth Registration Bill  Bill - private,139-2,RA,14 April 2014,Government Administration Committee
22,Land Transport and Road User Charges Legislation Amendment Bill  Bill - government,143-2,3,08 April 2014,Transport and Industrial Relations Committee
23,Families Commission Amendment Bill  Bill - government,26-2,RA,24 March 2014,Social Services Committee
24,Electoral Amendment Bill  Bill - government,149-2,RA,24 March 2014,Justice and Electoral Committee
25,Customs and Excise (Border Processing - Trade Single Window and Duties) Amendment Bill  Bill - government,132-3A,RA,24 March 2014,
26,Biosecurity (Border Processing - Trade Single Window) Amendment Bill  Bill - government,132-3B,RA,24 March 2014,
27,Land Transport (Admissibility of Evidential Breath Tests) Amendment Bill  Bill - member's,61-1,2,20 March 2014,Transport and Industrial Relations Committee
28,Raukawa Claims Settlement Bill  Bill - government,137-2,RA,19 March 2014,Māori Affairs Committee
29,Ngā Punawai o Te Tokotoru Claims Settlement Bill  Bill - government,136-2,CH,13 March 2014,Māori Affairs Committee
30,Border Processing (Trade Single Window and Duties) Bill  Bill - government,132-2,3,11 March 2014,"Foreign Affairs, Defence and Trade Committee"
31,Student Loan Scheme Amendment Bill (No 3)  Bill - government,147-2,RA,07 March 2014,Finance and Expenditure Committee
32,Appropriation (2012/13 Financial Review) Bill  Bill - government,174-1,RA,07 March 2014,
33,"Taxation (Annual Rates, Foreign Superannuation, and Remedial Matters) Bill  Bill - government",112-2,RA,27 February 2014,Finance and Expenditure Committee
34,Te Tau Ihu Claims Settlement Bill  Bill - government,123-2,CH,20 February 2014,Māori Affairs Committee
35,Airports (Cost Recovery for Processing of International Travellers) Bill  Bill - government,199-3,RA,14 February 2014,Primary Production Committee
36,Subantarctic Islands Marine Reserves Bill  Bill - government,310-2,RA,14 February 2014,Local Government and Environment Committee
37,Arts Council of New Zealand Toi Aotearoa Bill  Bill - government,167-3,RA,31 January 2014,Government Administration Committee
38,"Mokomoko (Restoration of Character, Mana, and Reputation) Bill  Bill - government",343-2,RA,17 December 2013,Māori Affairs Committee
39,Royal Succession Bill  Bill - government,99-2,RA,17 December 2013,Justice and Electoral Committee
40,Subordinate Legislation (Confirmation and Validation) Bill (No 2)  Bill - government,142-1,RA,17 December 2013,Regulations Review Committee
41,Fair Trading Amendment Bill  Bill - government,287-3A,RA,17 December 2013,
42,Consumer Guarantees Amendment Bill  Bill - government,287-3B,RA,17 December 2013,
43,Weights and Measures Amendment Bill  Bill - government,287-3C,RA,17 December 2013,
44,Secondhand Dealers and Pawnbrokers Amendment Bill  Bill - government,287-3D,RA,17 December 2013,
45,Carriage of Goods Amendment Bill  Bill - government,287-3E,RA,17 December 2013,
46,Auctioneers Bill  Bill - government,287-3F,RA,17 December 2013,
47,Kaipara District Council (Validation of Rates and Other Matters) Bill  Bill - local,125-2,RA,10 December 2013,Local Government and Environment Committee
48,Medicines Amendment Bill  Bill - government,345-2,RA,04 December 2013,Health Committee
49,Unit Titles Amendment Bill  Bill - government,89-2A,RA,04 December 2013,Government Administration Committee
0,Accident Compensation Amendment Bill (No 2)  Bill - government,,RA,04 December 2013,
1,Anti-Money Laundering and Countering Financing of Terrorism Amendment Bill (No 2)  Bill - government,,RA,04 December 2013,
2,Aquaculture Reform (Repeals and Transitional Provisions) Amendment Bill  Bill - government,,RA,04 December 2013,
3,Armed Forces Discipline Amendment Bill  Bill - government,,RA,04 December 2013,
4,"Births, Deaths, Marriages, and Relationships Registration Amendment Bill (No 2)  Bill - government",,RA,04 December 2013,
5,"Children, Young Persons, and Their Families Amendment Bill (No 3)  Bill - government",,RA,04 December 2013,
6,Companies Amendment Bill (No 3)  Bill - government,,RA,04 December 2013,
7,Criminal Investigations (Bodily Samples) Amendment Bill  Bill - government,,RA,04 December 2013,
8,Disputes Tribunals Amendment Bill  Bill - government,,RA,04 December 2013,
9,District Courts Amendment Bill  Bill - government,,RA,04 December 2013,
10,Electoral Amendment Bill (No 2)  Bill - government,,RA,04 December 2013,
11,Extradition Amendment Bill  Bill - government,,RA,04 December 2013,
12,"Flags, Emblems, and Names Protection Amendment Bill  Bill - government",,RA,04 December 2013,
13,Gambling Amendment Bill  Bill - government,,RA,04 December 2013,
14,Health Amendment Bill  Bill - government,,RA,04 December 2013,
15,Health and Disability Commissioner Amendment Bill  Bill - government,,RA,04 December 2013,
16,Insolvency Amendment Bill  Bill - government,,RA,04 December 2013,
17,Legislation Amendment Bill  Bill - government,,RA,04 December 2013,
18,Local Electoral Amendment Bill (No 3)  Bill - government,,RA,04 December 2013,
19,Local Government Act 2002 Amendment Bill (No 4)  Bill - government,,RA,04 December 2013,
20,Maori Commercial Aquaculture Claims Settlement Amendment Bill  Bill - government,,RA,04 December 2013,
21,Parental Leave and Employment Protection Amendment Bill  Bill - government,,RA,04 December 2013,
22,Passports Amendment Bill  Bill - government,,RA,04 December 2013,
23,Private Security Personnel and Private Investigators Amendment Bill  Bill - government,,RA,04 December 2013,
24,Real Estate Agents Amendment Bill (No 2)  Bill - government,,RA,04 December 2013,
25,Road User Charges Amendment Bill (No 2)  Bill - government,,RA,04 December 2013,
26,Sale and Supply of Alcohol Amendment Bill  Bill - government,,RA,04 December 2013,
27,Social Welfare (Transitional Provisions) Amendment Bill  Bill - government,,RA,04 December 2013,
28,State Sector Amendment Bill (No 2)  Bill - government,,RA,04 December 2013,
29,Statistics Amendment Bill (No 2)  Bill - government,,RA,04 December 2013,
30,Tariff Amendment Bill  Bill - government,,RA,04 December 2013,
31,Telecommunications Amendment Bill  Bill - government,,RA,04 December 2013,
32,Unsolicited Electronic Messages Amendment Bill  Bill - government,,RA,04 December 2013,
33,Wills Amendment Bill (No 2)  Bill - government,,RA,04 December 2013,
34,Wine Amendment Bill (No 2)  Bill - government,,RA,04 December 2013,
35,Consumer Law Reform Bill  Bill - government,287-2,3,03 December 2013,Commerce Committee
36,Non-bank Deposit Takers Bill  Bill - government,312-2,RA,03 December 2013,Finance and Expenditure Committee
37,Reserve Bank of New Zealand (Covered Bonds) Amendment Bill  Bill - government,19-2,RA,03 December 2013,Finance and Expenditure Committee
38,Financial Reporting Bill  Bill - government,42-2,RA,03 December 2013,Commerce Committee
39,Financial Reporting (Amendments to Other Enactments) Bill  Bill - government,,RA,03 December 2013,
40,Building Amendment Bill (No 4)  Bill - government,322-2,RA,27 November 2013,Local Government and Environment Committee
41,Game Animal Council Bill  Bill - government,347-2,RA,27 November 2013,Local Government and Environment Committee
42,Māori Television Service (Te Aratuku Whakaata Irirangi Māori) Amendment Bill  Bill - government,44-2,RA,27 November 2013,Māori Affairs Committee
43,Social Housing Reform (Housing Restructuring and Tenancy Matters Amendment) Bill  Bill - government,116-2,RA,27 November 2013,Social Services Committee
44,Statutes Amendment Bill  Bill - government,89-2,3,21 November 2013,Government Administration Committee
45,Members of Parliament (Remuneration and Services) Bill  Bill - government,329-2,RA,18 November 2013,Government Administration Committee
46,New Zealand International Convention Centre Bill  Bill - government,140-2,RA,18 November 2013,Commerce Committee
47,WorkSafe New Zealand Bill  Bill - government,130-3A,RA,18 November 2013,
48,Health and Safety in Employment Amendment Bill  Bill - government,130-3B,RA,18 November 2013,
49,Mines Rescue Bill  Bill - government,130-3C,RA,18 November 2013,
0,Privacy (Giving Privacy Commissioner Necessary Tools) Amendment Bill  Bill - member's,122-1,W,13 November 2013,
1,Reserve Bank of New Zealand (Amending Primary Function of Bank) Amendment Bill (No 2)  Bill - member's,119-1,W,13 November 2013,
2,Employment Relations (Continuity of Labour) Amendment Bill  Bill - member's,129-1,W,13 November 2013,
3,Health and Safety (Pike River Implementation) Bill  Bill - government,130-2,3,12 November 2013,Transport and Industrial Relations Committee
4,Telecommunications (Interception Capability and Security) Bill  Bill - government,108-2,RA,11 November 2013,Law and Order Committee
5,Conservation (Natural Heritage Protection) Bill  Bill - member's,72-2,RA,24 October 2013,Local Government and Environment Committee
6,Policing (Constable's Oaths Validation) Amendment Bill  Bill - government,153-1,RA,24 October 2013,
7,Care of Children Law Reform Bill  Bill - member's,62-1,W,23 October 2013,
8,Administration of Community Sentences and Orders Bill  Bill - government,339-3,RA,22 October 2013,Law and Order Committee
9,Local Government (Auckland Council) Amendment Bill (No 2)  Bill - government,106-1,RA,22 October 2013,Local Government and Environment Committee
10,Copyright (Parallel Importing of Films) Amendment Bill  Bill - government,133-1,RA,22 October 2013,Commerce Committee
11,Maritime Transport Amendment Bill  Bill - government,58-3A,RA,22 October 2013,
12,Exclusive Economic Zone and Continental Shelf (Environmental Effects) Amendment Bill  Bill - government,58-3B,RA,22 October 2013,
13,Marine Legislation Bill  Bill - government,58-2,3,24 September 2013,Transport and Industrial Relations Committee
14,Care of Children Amendment Bill (No 2)  Bill - government,90-3A,RA,24 September 2013,
15,Child Support Amendment Bill (No 3)  Bill - government,90-3B,RA,24 September 2013,
16,"Children, Young Persons, and Their Families Amendment Bill (No 2)  Bill - government",90-3C,RA,24 September 2013,
17,Domestic Violence Amendment Bill (No 2)  Bill - government,90-3D,RA,24 September 2013,
18,Family Courts Amendment Bill  Bill - government,90-3E,RA,24 September 2013,
19,Family Dispute Resolution Bill  Bill - government,90-3F,RA,24 September 2013,
20,Family Proceedings Amendment Bill (No 2)  Bill - government,90-3G,RA,24 September 2013,
21,Legal Services Amendment Bill (No 2)  Bill - government,90-3H,RA,24 September 2013,
22,Property (Relationships) Amendment Bill (No 2)  Bill - government,90-3I,RA,24 September 2013,
23,Protection of Personal and Property Rights Amendment Bill  Bill - government,90-3J,RA,24 September 2013,
24,Family Court Proceedings Reform Bill  Bill - government,90-2,CH,18 September 2013,Justice and Electoral Committee
25,Gambling (Gambling Harm Reduction) Amendment Bill  Bill - member's,209-2,RA,13 September 2013,Commerce Committee
26,Financial Markets Conduct Bill  Bill - government,342-2,RA,13 September 2013,Commerce Committee
27,"Plumbers, Gasfitters, and Drainlayers Amendment Bill  Bill - government",101-2,RA,13 September 2013,Government Administration Committee
28,Housing Accords and Special Housing Areas Bill  Bill - government,117-2,RA,13 September 2013,Social Services Committee
29,Financial Markets (Repeals and Amendments) Bill  Bill - government,,RA,13 September 2013,
30,Patents Bill  Bill - government,235-2,RA,13 September 2013,Commerce Committee
31,Electricity (Renewable Preference) Amendment Bill  Bill - member's,71-1,W,04 September 2013,
32,Bail Amendment Bill  Bill - government,17-2,RA,03 September 2013,Law and Order Committee
33,Public Finance (Fiscal Responsibility) Amendment Bill  Bill - government,54-2,RA,03 September 2013,Finance and Expenditure Committee
34,Insurance (Prudential Supervision) Amendment Bill  Bill - government,80-2,RA,03 September 2013,Finance and Expenditure Committee
